,field name,reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
0,value,MAD-6013-98-016,https://www.mbandf.com/en/machines/co-creations/musicmachine1-reloaded,,MB&F,,Co creations,Musicmachine 1 RELOADED,Red aluminium,MUSICMACHINE 1 RELOADEDRED,,,,https://www.mbandf.com/files/machines/co-creations/musicmachine1-reloaded/images/MusicMachine_1Reloaded_Red_preview.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"Back in 2013, MusicMachine 1 opened the floodgate for MB&F to collaborate with external creators on projects outside the scope of the wristwatch; it initiated a new category – “Co-creations” – that invited MB&F to a world beyond that of miniaturized horology.And it did not tell the time: rather, it was a music box created with REUGE that uprooted everything we thought we knew about music boxes, from the design all the way to the music. MusicMachine 1 featured all the traditional, time-honoured elements of a superlative high-end music box, but configured in MB&F’s individualistic manner. It was a music box for today. Maximilian Büsser and his Friends decided it was time to redesign the first MusicMachine and issue another edition.MusicMachine 1 Reloaded is a limited edition of 33 pieces in blue, 33 pieces in red, and 33 in black.",Limited edition of 33 pieces
1,value,MAD-6013-98-017,https://www.mbandf.com/en/machines/co-creations/musicmachine1-reloaded,,MB&F,,Co creations,Musicmachine 1 RELOADED,Blue aluminium,MUSICMACHINE 1 RELOADEDBLUE,,,,https://www.mbandf.com/files/machines/co-creations/musicmachine1-reloaded/images/MusicMachine_1Reloaded_Blue_preview.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"Back in 2013, MusicMachine 1 opened the floodgate for MB&F to collaborate with external creators on projects outside the scope of the wristwatch; it initiated a new category – “Co-creations” – that invited MB&F to a world beyond that of miniaturized horology.And it did not tell the time: rather, it was a music box created with REUGE that uprooted everything we thought we knew about music boxes, from the design all the way to the music. MusicMachine 1 featured all the traditional, time-honoured elements of a superlative high-end music box, but configured in MB&F’s individualistic manner. It was a music box for today. Maximilian Büsser and his Friends decided it was time to redesign the first MusicMachine and issue another edition.MusicMachine 1 Reloaded is a limited edition of 33 pieces in blue, 33 pieces in red, and 33 in black.",Limited edition of 33 pieces
2,value,MAD-6013-98-018,https://www.mbandf.com/en/machines/co-creations/musicmachine1-reloaded,,MB&F,,Co creations,Musicmachine 1 RELOADED,Black aluminium,MUSICMACHINE 1 RELOADEDBLACK,,,,https://www.mbandf.com/files/machines/co-creations/musicmachine1-reloaded/images/MusicMachine_1Reloaded_Black_preview.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"Back in 2013, MusicMachine 1 opened the floodgate for MB&F to collaborate with external creators on projects outside the scope of the wristwatch; it initiated a new category – “Co-creations” – that invited MB&F to a world beyond that of miniaturized horology.And it did not tell the time: rather, it was a music box created with REUGE that uprooted everything we thought we knew about music boxes, from the design all the way to the music. MusicMachine 1 featured all the traditional, time-honoured elements of a superlative high-end music box, but configured in MB&F’s individualistic manner. It was a music box for today. Maximilian Büsser and his Friends decided it was time to redesign the first MusicMachine and issue another edition.MusicMachine 1 Reloaded is a limited edition of 33 pieces in blue, 33 pieces in red, and 33 in black.",Limited edition of 33 pieces
0,value,63.6000/124,https://www.mbandf.com/en/machines/co-creations/orb,,MB&F,,Co creations,ORB,"Handmade lacquer, palladium-plated brass and stainless steel.", Black,,,,https://www.mbandf.com/files/machines/co-creations/orb/images/ORB_Black_Opened_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement"," Striking hour, indicating the actual hour like a church clock; can be repeated on demand via a button on the side of the clock, or turned on and off if required.","At first glance, the Orb looks like a futuristic model of an eye with its perfectly formed shiny sphere, and its dial taking the place of the iris and the pupil. But nothing is ever quite what it seems with the collaborative clocks of L’Epée 1839 × MB&F.The minimalistic structure is composed of four elytra (that’s the technical word for a beetle’s protective wing covers) that not only open up, but can also swivel like a transformer to display the Orb in a variety of different positions. Placed on its saucer so it doesn’t roll away, it can be displayed completely closed or with one, two or three opened elytra. Alternatively, opening all four elytra allows to display the clock without the saucer.Powering this state-of-the-art clock is a beautiful L’Epée 1839 hour-striking movement with an eight-day power reserve. There are two barrels, one for the time and the other for the striking of the hours, wound separately. The hour mechanism doesn’t just chime the passage of the hour, but indicates the actual hour, like a church clock. This function can be repeated on demand or turned on and off.Available in white or black with its hourly striking mechanism, the Orb is a beautiful reminder of the passage of time.",Limited edition of 50 pieces.
1,value,63.6000/184,https://www.mbandf.com/en/machines/co-creations/orb,,MB&F,,Co creations,ORB,"Handmade lacquer, palladium-plated brass and stainless steel.", White,,,,https://www.mbandf.com/files/machines/co-creations/orb/images/ORB_White_Opened_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement","
L’Epée 1839 in-house designed and manufactured movement
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000bph
300 components and 17 jewels
Manual-winding: double-depth square socket key sets time and winds movement"," Striking hour, indicating the actual hour like a church clock; can be repeated on demand via a button on the side of the clock, or turned on and off if required.","At first glance, the Orb looks like a futuristic model of an eye with its perfectly formed shiny sphere, and its dial taking the place of the iris and the pupil. But nothing is ever quite what it seems with the collaborative clocks of L’Epée 1839 × MB&F.The minimalistic structure is composed of four elytra (that’s the technical word for a beetle’s protective wing covers) that not only open up, but can also swivel like a transformer to display the Orb in a variety of different positions. Placed on its saucer so it doesn’t roll away, it can be displayed completely closed or with one, two or three opened elytra. Alternatively, opening all four elytra allows to display the clock without the saucer.Powering this state-of-the-art clock is a beautiful L’Epée 1839 hour-striking movement with an eight-day power reserve. There are two barrels, one for the time and the other for the striking of the hours, wound separately. The hour mechanism doesn’t just chime the passage of the hour, but indicates the actual hour, like a church clock. This function can be repeated on demand or turned on and off.Available in white or black with its hourly striking mechanism, the Orb is a beautiful reminder of the passage of time.",Limited edition of 50 pieces.
0,value,74.6009/134,https://www.mbandf.com/en/machines/co-creations/tripod,,MB&F,,Co creations,TriPod,"Palladium plated brass, optical mineral glass and fluorescent acrylic.", Green,,,,https://www.mbandf.com/files/machines/co-creations/tripod/images/Tripod_GREEN_REFLET_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement", Hours and minutes are indicated on two concentric dials visible from each of the three optical mineral glass spheres. The dials make one full rotation in 36 hours.,"TriPod comprises a minimalist clock face suspended between three delicate insect-like legs. It follows the mighty T-Rex in what will become a trilogy of half animal/half robot creations that MB&F calls Robocreatures.TriPod’s name originates in the trios that inform it: three legs, three insect-eye spheres, and three movement levels comprising the creature’s mechanical body. Also, TriPod is the second in a group of three clocks set to form a trio. MB&F founder Maximilian Büsser describes Robocreatures; “In the same way that H.R. Giger created his Alien universe, we’re creating our own world of creatures”.An essential element of TriPod is indicating the time, which is done by looking down on the dial composed of rotating disks. But this clock requires some interaction between Man and Machine: the observer reads the time thanks to three optical spheres, each magnifying the clock’s numerals and making them legible.",Limited edition of 50 pieces
1,value,74.6009/144,https://www.mbandf.com/en/machines/co-creations/tripod,,MB&F,,Co creations,TriPod,"Palladium plated brass, optical mineral glass and fluorescent acrylic.", Blue,,,,https://www.mbandf.com/files/machines/co-creations/tripod/images/Tripod_BLUE_REFLET_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement", Hours and minutes are indicated on two concentric dials visible from each of the three optical mineral glass spheres. The dials make one full rotation in 36 hours.,"TriPod comprises a minimalist clock face suspended between three delicate insect-like legs. It follows the mighty T-Rex in what will become a trilogy of half animal/half robot creations that MB&F calls Robocreatures.TriPod’s name originates in the trios that inform it: three legs, three insect-eye spheres, and three movement levels comprising the creature’s mechanical body. Also, TriPod is the second in a group of three clocks set to form a trio. MB&F founder Maximilian Büsser describes Robocreatures; “In the same way that H.R. Giger created his Alien universe, we’re creating our own world of creatures”.An essential element of TriPod is indicating the time, which is done by looking down on the dial composed of rotating disks. But this clock requires some interaction between Man and Machine: the observer reads the time thanks to three optical spheres, each magnifying the clock’s numerals and making them legible.",Limited edition of 50 pieces
2,value,74.6009/164,https://www.mbandf.com/en/machines/co-creations/tripod,,MB&F,,Co creations,TriPod,"Palladium plated brass, optical mineral glass and fluorescent acrylic.", Red,,,,https://www.mbandf.com/files/machines/co-creations/tripod/images/Tripod_RED_REFLET_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement","
L’Epée 1839 movement, designed and manufactured in-house
Power reserve: 8 days
Balance frequency: 2.5Hz / 18,000 bph
182 components and 21 jewels
Manual-winding: double-ended key to set time and wind the movement", Hours and minutes are indicated on two concentric dials visible from each of the three optical mineral glass spheres. The dials make one full rotation in 36 hours.,"TriPod comprises a minimalist clock face suspended between three delicate insect-like legs. It follows the mighty T-Rex in what will become a trilogy of half animal/half robot creations that MB&F calls Robocreatures.TriPod’s name originates in the trios that inform it: three legs, three insect-eye spheres, and three movement levels comprising the creature’s mechanical body. Also, TriPod is the second in a group of three clocks set to form a trio. MB&F founder Maximilian Büsser describes Robocreatures; “In the same way that H.R. Giger created his Alien universe, we’re creating our own world of creatures”.An essential element of TriPod is indicating the time, which is done by looking down on the dial composed of rotating disks. But this clock requires some interaction between Man and Machine: the observer reads the time thanks to three optical spheres, each magnifying the clock’s numerals and making them legible.",Limited edition of 50 pieces
0,value,74.6000/154,https://www.mbandf.com/en/machines/co-creations/destination-moon,,MB&F,,Co creations,Destination Moon,Palladium-plated brass and stainless steel with red landing pods, Red,,,,https://www.mbandf.com/files/machines/co-creations/destination-moon/images/Destination-Moon_Red_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel",,"Conceived by MB&F and built by L’Epée 1839, Destination Moon is the quintessential torpedo-shaped rocket of childhood dreams.Developed specifically for Destination Moon, the architecture of L’Epée’s eight-day movement follows the basic engineering of a real spaceship. Power in a rocket comes from its base and the power for Destination Moon comes from the oversized winding crown in its base. The control systems of a rocket are above the power source and the same holds true for Destination Moon, which has a vertical regulator underneath the time display, as well as a time-setting knob at the top of the movement. That regulator with its animated balance is protected from cosmic radiation (and curious fingers) by a small panel of virtually invisible mineral glass. Hours and minutes are displayed by large, white numerals on stainless steel disks.And there's Neil: a smile inducing, space-suited figurine forged in solid silver and stainless steel, magnetically attached to the ladder connecting the crown to the movement. Neil imparts a childlike sense of wonder by putting Man into the Machine.",Limited edition of 50 pieces
1,value,74.6000/104,https://www.mbandf.com/en/machines/co-creations/destination-moon,,MB&F,,Co creations,Destination Moon,Palladium-plated brass and stainless steel with silver landing pods, Silver,,,,https://www.mbandf.com/files/machines/co-creations/destination-moon/images/Destination_Moon_Silver_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel","
L’Epée 1839 movement, designed and manufactured in-house 
Multi-stage vertical architecture
Incabloc shock protection system protected by mineral glass
Power reserve: 8 days from single barrel
Balance frequency: 18,000 bph / 2.5 Hz
164 components and 17 jewels
Movement finishing: polishing, bead-blasting and satin finishing
Manual winding by rotating the propulsion wheel",,"Conceived by MB&F and built by L’Epée 1839, Destination Moon is the quintessential torpedo-shaped rocket of childhood dreams.Developed specifically for Destination Moon, the architecture of L’Epée’s eight-day movement follows the basic engineering of a real spaceship. Power in a rocket comes from its base and the power for Destination Moon comes from the oversized winding crown in its base. The control systems of a rocket are above the power source and the same holds true for Destination Moon, which has a vertical regulator underneath the time display, as well as a time-setting knob at the top of the movement. That regulator with its animated balance is protected from cosmic radiation (and curious fingers) by a small panel of virtually invisible mineral glass. Hours and minutes are displayed by large, white numerals on stainless steel disks.And there's Neil: a smile inducing, space-suited figurine forged in solid silver and stainless steel, magnetically attached to the ladder connecting the crown to the movement. Neil imparts a childlike sense of wonder by putting Man into the Machine.",Limited edition of 50 pieces
