,field name,reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description;
"0,,,https://www.mbandf.com/en/machines/co-creations/tom-and-t-rex,,MB&F,,Co creations,,,,,,,https://www.mbandf.com/files/machines/co-creations/tom-and-t-rex/images/T_Rex_OW_Face_preview.jpg,,,,,,,,,,,,,,,,,,,,""L’Epée 1839 movement, designed and manufactured in-house";
Power reserve: 8 days;
Balance frequency: 2.5 Hz / 18,000 vph;
138 components and 17 jewels;
"Time setting: winding key to both set the time (in the centre of the dial) and wind the movement (on the barrel axis at the back)"",""L’Epée 1839 movement, designed and manufactured in-house";
Power reserve: 8 days;
Balance frequency: 2.5 Hz / 18,000 vph;
138 components and 17 jewels;
"Time setting: winding key to both set the time (in the centre of the dial) and wind the movement (on the barrel axis at the back)"",""L’Epée 1839 movement, designed and manufactured in-house";
Power reserve: 8 days;
Balance frequency: 2.5 Hz / 18,000 vph;
138 components and 17 jewels;
"Time setting: winding key to both set the time (in the centre of the dial) and wind the movement (on the barrel axis at the back)"",""L’Epée 1839 movement, designed and manufactured in-house";
Power reserve: 8 days;
Balance frequency: 2.5 Hz / 18,000 vph;
138 components and 17 jewels;
"Time setting: winding key to both set the time (in the centre of the dial) and wind the movement (on the barrel axis at the back)"",""L’Epée 1839 movement, designed and manufactured in-house";
Power reserve: 8 days;
Balance frequency: 2.5 Hz / 18,000 vph;
138 components and 17 jewels;
